datetime,alarm,max_temperature,forecasted
11/11/2024 09:00,Green,37.946568,no
11/11/2024 10:00,Green,38.3475,no
11/11/2024 11:00,Yellow,38.660225,no
11/11/2024 12:00,Green,39.214146,no
11/11/2024 13:00,Green,40.478992,no
11/11/2024 14:00,Green,40.635612,no
11/11/2024 15:00,Green,41.49297,no
11/11/2024 16:00,Green,41.74622,no
11/11/2024 17:00,Green,41.293983,no
11/11/2024 18:00,Green,41.951286,no
11/11/2024 19:00,Green,41.773785,no
11/11/2024 20:00,Green,41.726166,no
11/11/2024 21:00,Green,41.70725,no
11/11/2024 22:00,Green,41.73697,no
11/11/2024 23:00,Green,42.028843,no
12/11/2024 00:00,Green,42.00975,no
12/11/2024 01:00,Green,41.716286,no
12/11/2024 02:00,Green,42.06629,no
12/11/2024 03:00,Green,41.961266,no
12/11/2024 04:00,Yellow,41.384007,no
12/11/2024 05:00,Yellow,40.891106,no
12/11/2024 06:00,Green,39.95071,no
12/11/2024 07:00,Green,38.39833,no
12/11/2024 08:00,Green,38.866684,no
12/11/2024 09:00,Green,37.588337,yes
12/11/2024 10:00,Green,37.338215,yes
12/11/2024 11:00,Green,36.957603,yes
12/11/2024 12:00,Green,36.564793,yes
12/11/2024 13:00,Green,36.23543,yes
12/11/2024 14:00,Green,36.010513,yes
12/11/2024 15:00,Green,35.881676,yes
12/11/2024 16:00,Green,35.805687,yes
12/11/2024 17:00,Green,35.739433,yes
12/11/2024 18:00,Green,35.659233,yes
12/11/2024 19:00,Green,35.549065,yes
12/11/2024 20:00,Green,35.403004,yes
12/11/2024 21:00,Green,35.252014,yes
12/11/2024 22:00,Green,35.197613,yes
12/11/2024 23:00,Green,35.388084,yes
13/11/2024 00:00,Green,35.908638,yes
13/11/2024 01:00,Green,36.70575,yes
13/11/2024 02:00,Green,37.60076,yes
13/11/2024 03:00,Green,38.380463,yes
13/11/2024 04:00,Green,38.915283,yes
13/11/2024 05:00,Green,39.17309,yes
13/11/2024 06:00,Green,39.182377,yes
13/11/2024 07:00,Green,38.97074,yes
13/11/2024 08:00,Green,38.55156,yes
